id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator
con-miedo-ar-0010	Res Continens	miedo	AR	verbal-locative-state	vivir en	vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0011	Res Continens	miedo	AR	verbal-locative-state	vivir en	No queremos seguir viviendo en el miedo	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0012	Res Continens	miedo	AR	verbal-locative-state	vivir en	es imposible vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0013	Res Continens	miedo	AR	verbal-locative-state	vivir en	En Venezuela vivíamos en el miedo, y el miedo genera egoísmo.	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0014	Res Continens	miedo	AR	verbal-locative-state	permanecer en	permanecer en el miedo.	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0016	Res Continens	miedo	AR	verbal-locative-state	encontrarse en	un partido encontraba en el miedo un poderoso motor	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0017	Res Continens	miedo	AR	verbal-locative-state	encontrarse en	los movimientos políticos que encontraron en el miedo su razón de existi	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0018	Res Continens	miedo	AR	verbal-locative-into	caer en	Honrubia asegura que caer en el miedo es producto de una falta de confianza prolongada	manual	RES CONTINENS.xlsx	miedo	E2
con-miedo-ar-0019	Res Continens	miedo	AR	verbal-locative-into	caer en	Luego de caer en el miedo y la depresión, Gustavo decidió refugiar se con sus compañeros en el CUEN	manual	RES CONTINENS.xlsx	miedo	E2
con-miedo-ar-0020	Res Continens	miedo	AR	verbal-locative-into	caer en	me di cuenta de que no tenía que caer en el miedo que le tienen los periodistas de decir se a sí mismos'	manual	RES CONTINENS.xlsx	miedo	E2
con-miedo-ar-0021	Res Continens	miedo	AR	verbal-locative-into	caer en	an una mano grande a los equipos con el fin de no caer en el miedo que tenemos de tener que decir que cerramos	manual	RES CONTINENS.xlsx	miedo	E2
con-miedo-ar-0022	Res Continens	miedo	AR	verbal-locative-into	caer en	los aísla de el riesgo local, es decir, no caen en el miedo que padecen hoy muchos ejecutivos respecto a que pasa si el negocio en la Argentina	manual	RES CONTINENS.xlsx	miedo	E2
con-miedo-ar-0023	Res Continens	miedo	AR	verbal-locative-out	sacar de	SACAR 1 Tenés que sacar te mil capas de miedo	manual	RES CONTINENS.xlsx	miedo	F2
con-miedo-ar-0024	Res Continens	miedo	AR	verbal-locative-out	sacar de	Hay que sacar a las mujeres de el miedo	manual	RES CONTINENS.xlsx	miedo	F2
con-miedo-bo-0001	Res Continens	miedo	BO	verbal-objective	destapar	Destapo el miedo de una mujer	manual	RES CONTINENS.xlsx	miedo	B3
con-miedo-bo-0002	Res Continens	miedo	BO	verbal-locative-state	estar en	estaremos condenados a vivir en el miedo, la intranquilidad y el abuso de poder d	manual	RES CONTINENS.xlsx	miedo	D3
con-miedo-bo-0003	Res Continens	miedo	BO	verbal-locative-state	vivir en	Los tiranos tienen miedo, viven en el miedo porque contra todo el pueblo nadie puede	manual	RES CONTINENS.xlsx	miedo	D3
con-miedo-bo-0004	Res Continens	miedo	BO	verbal-locative-state	vivir en	los contribuyentes viven en el miedo –e incluso terror–	manual	RES CONTINENS.xlsx	miedo	D3
con-miedo-bo-0005	Res Continens	miedo	BO	verbal-locative-out	sacar de	La llegada de el Espíritu Santo saca del miedo a los discípulos	manual	RES CONTINENS.xlsx	miedo	F3
con-miedo-cl-0001	Res Continens	miedo	CL	verbal-objective	destapar	sometida a proyecciones de realidad, que destapan los miedos guardados	manual	RES CONTINENS.xlsx	miedo	B4
con-miedo-cl-0002	Res Continens	miedo	CL	verbal-locative-state	encontrarse en	han encontrado en el miedo transformado en un dispositivo político-mediático un instrumento perfecto para la desarticulación social (	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0003	Res Continens	miedo	CL	verbal-locative-state	aparecer en	2( Tengo miedo, pero en el miedo aparece la esperanza; yo sé que Dios nos va a ayudar.	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0004	Res Continens	miedo	CL	verbal-locative-state	dentro de	Dentro de este miedo aparece ser una carga para los hijos o cónyuge	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0005	Res Continens	miedo	CL	verbal-locative-state	estar en	Es importante recalcar, que dentro de los miedos más importantes, que todos tenemos, hay dos que están presentes en la mayoría	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0006	Res Continens	miedo	CL	verbal-locative-state	vivir en	No se puede vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0007	Res Continens	miedo	CL	verbal-locative-state	estar en	llos deben ocupar se de esta situación antes que vivir en el miedo: "	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0008	Res Continens	miedo	CL	verbal-locative-state	vivir en	lucharon por una Europa en la que sus gentes vivan en el miedo a la pobreza, a la exclusión, a el desempleo	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0009	Res Continens	miedo	CL	verbal-locative-state	estar en	estamos autocondenados a vivir en el miedo y la ignorancia	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0010	Res Continens	miedo	CL	verbal-locative-state	vivir en	Nos han mantenido viviendo en el miedo.	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0011	Res Continens	miedo	CL	verbal-locative-state	vivir en	se eleva a dos millones que ahora " viven en el miedo de un asedio de facto ". #	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0012	Res Continens	miedo	CL	verbal-locative-state	vivir en	uando familias inocentes viven en el miedo y el horror, el mundo entero fracasa.	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0013	Res Continens	miedo	CL	verbal-locative-state	vivir en	La víctima vive en el miedo, sino derechamente en el terror	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0015	Res Continens	miedo	CL	verbal-locative-state	encontrarse en	han encontrado en el miedo un instrumento perfecto para la desarticulación social.	manual	RES CONTINENS.xlsx	miedo	D4
con-miedo-cl-0016	Res Continens	miedo	CL	verbal-locative-into	caer en	Quizás por la presión caemos en el miedo escénico y terminamos complicándo nos	manual	RES CONTINENS.xlsx	miedo	E4
con-miedo-cl-0017	Res Continens	miedo	CL	verbal-locative-into	caer en	La ciudadanía no debe caer en el miedo o en una suerte de sicosis colectiva,	manual	RES CONTINENS.xlsx	miedo	E4
con-miedo-cl-0018	Res Continens	miedo	CL	verbal-locative-into	caer en	Caer en el miedo es dar le el triunfo a el Estado Islámico	manual	RES CONTINENS.xlsx	miedo	E4
con-miedo-co-0001	Res Continens	miedo	CO	verbal-objective	tapar	lo que uste está diciendo es que ya perdimos y quiere tapar el miedo	manual	RES CONTINENS.xlsx	miedo	B5
con-miedo-co-0003	Res Continens	miedo	CO	verbal-locative-state	encontrarse en	n fascista que encontró en el miedo, en la tristeza y en la desilusión de los brasileños	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0004	Res Continens	miedo	CO	verbal-locative-state	encontrarse en	Cadena encontró en el miedo y el terror la mejor arma para tener contro	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0005	Res Continens	miedo	CO	verbal-locative-state	aparecer en	3( Creo que sólo ahí, en el acecho, en el peligro, en el miedo aparecía el reclamo de justicia que yo buscaba para contar	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0006	Res Continens	miedo	CO	verbal-locative-state	dentro de	macabra muñequita que con su cara asesina y cruel se nos asentaba dentro de los miedos más profundos de el inconsciente	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0007	Res Continens	miedo	CO	verbal-locative-state	vivir en	una generación entera que vivió en el miedo.	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0008	Res Continens	miedo	CO	verbal-locative-state	vivir en	son las comunidades más pobres abandonadas y ninguniadas, sino que viven en el miedo y espanto que producen la convivencia con todos los bichos de el mal.	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0009	Res Continens	miedo	CO	verbal-locative-state	vivir en	" Una sociedad civil que vive en el miedo, miedo de el otro	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0010	Res Continens	miedo	CO	verbal-locative-state	vivir en	tener que abandonar el hogar donde viven, sino vivir en el miedo, en la precariedad	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0012	Res Continens	miedo	CO	verbal-locative-state	encontrarse en	Cadena encontró en el miedo y el terror la mejor arma para tener control	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0013	Res Continens	miedo	CO	verbal-locative-state	encontrarse en	n fascista que encontró en el miedo, en la tristeza y en la desilusión de los brasileños el terreno abonado	manual	RES CONTINENS.xlsx	miedo	D5
con-miedo-co-0014	Res Continens	miedo	CO	verbal-locative-into	caer en	les pidió a los colombianos no caer en el miedo a el castrochavismo	manual	RES CONTINENS.xlsx	miedo	E5
con-miedo-co-0015	Res Continens	miedo	CO	verbal-locative-into	caer en	hacer lenta tu toma de decisiones y hacer te caer en el miedo de dar un paso	manual	RES CONTINENS.xlsx	miedo	E5
con-miedo-co-0016	Res Continens	miedo	CO	verbal-locative-out	sacar de	nos sacan de el miedo de vivir " en el país de el Nomeacuerdo	manual	RES CONTINENS.xlsx	miedo	F5
con-miedo-co-0017	Res Continens	miedo	CO	verbal-locative-out	sacar de	La capacidad de Trump de sacar votos de el miedo y la demagogi	manual	RES CONTINENS.xlsx	miedo	F5
con-miedo-co-0018	Res Continens	miedo	CO	verbal-locative-out	sacar de	sacar provecho de el miedo de la comunida	manual	RES CONTINENS.xlsx	miedo	F5
con-miedo-co-0019	Res Continens	miedo	CO	attributive	destapado	Aquí ya no hay caminos para las aves. Se han destapado todos los miedos.	manual	RES CONTINENS.xlsx	miedo	G5
con-miedo-cr-0001	Res Continens	miedo	CR	verbal-locative-state	estar en	está en el temor	manual	RES CONTINENS.xlsx	miedo	D6
con-miedo-cr-0002	Res Continens	miedo	CR	verbal-locative-into	caer en	No caigamos en el miedo y la mentira, informemonos mejor y tomemos nuestras propias decisiones	manual	RES CONTINENS.xlsx	miedo	E6
con-miedo-cu-0001	Res Continens	miedo	CU	verbal-objective	tapar	Hay algunos que utilizan el dolor como excusa para tapar sus miedos	manual	RES CONTINENS.xlsx	miedo	B7
con-miedo-cu-0002	Res Continens	miedo	CU	verbal-objective	tapar	con la prisión de Lula quieren tapar el miedo que tienen a el poder de el pueblo que ya demostró	manual	RES CONTINENS.xlsx	miedo	B7
con-miedo-cu-0003	Res Continens	miedo	CU	verbal-locative-state	vivir en	Nadie merece vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D7
con-miedo-cu-0004	Res Continens	miedo	CU	verbal-locative-state	vivir en	na vida de privaciones por el simple hecho de vivir en el miedo, se aficiona a el diccionario	manual	RES CONTINENS.xlsx	miedo	D7
con-miedo-cu-0005	Res Continens	miedo	CU	verbal-locative-state	vivir en	las demas NACIUONES de el MUNDO que viven en el MIEDO, la VIOLENCIA HUMANA	manual	RES CONTINENS.xlsx	miedo	D7
con-miedo-cu-0006	Res Continens	miedo	CU	verbal-locative-state	vivir en	mientras se siga viviendo en el miedo	manual	RES CONTINENS.xlsx	miedo	D7
con-miedo-do-0001	Res Continens	miedo	DO	verbal-locative-state	vivir en	Los padres y los residentes de la comunidad ahora vivimos en el miedo y tenemos temor de que nuestros hijos e hijas, jueguen afuera	manual	RES CONTINENS.xlsx	miedo	D8
con-miedo-do-0002	Res Continens	miedo	DO	verbal-locative-state	vivir en	viven en el miedo de la deportación	manual	RES CONTINENS.xlsx	miedo	D8
con-miedo-do-0003	Res Continens	miedo	DO	verbal-locative-state	estar en	niños nacidos en Estados Unidos viviendo en el miedo y la incertidumbre	manual	RES CONTINENS.xlsx	miedo	D8
con-miedo-do-0004	Res Continens	miedo	DO	verbal-locative-into	caer en	caer en el miedo sólo ayuda a las actividades terroristas.	manual	RES CONTINENS.xlsx	miedo	E8
con-miedo-ec-0002	Res Continens	miedo	EC	verbal-objective	llenar	" Los elementos electrónicos y físicos intentan responder y llenar el miedo de las personas	manual	RES CONTINENS.xlsx	miedo	B9
con-miedo-es-0001	Res Continens	miedo	ES	verbal-objective	tapar	veces llamamos' amor' a el tapar nuestros miedos y nuestras historias,	manual	RES CONTINENS.xlsx	miedo	B10
con-miedo-es-0002	Res Continens	miedo	ES	verbal-objective	tapar	Siento que es una forma de tapar el miedo y el dolor	manual	RES CONTINENS.xlsx	miedo	B10
con-miedo-es-0003	Res Continens	miedo	ES	verbal-objective	tapar	Quizá los logros y méritos tapen su miedo a volver a amar	manual	RES CONTINENS.xlsx	miedo	B10
con-miedo-es-0004	Res Continens	miedo	ES	verbal-objective	destapar	La llamada de Isabel Pantoja destapa los miedos de su hijo	manual	RES CONTINENS.xlsx	miedo	B10
con-miedo-es-0005	Res Continens	miedo	ES	verbal-objective	destapar	el propio Rossi destapa un miedo profundo hacia Márquez.	manual	RES CONTINENS.xlsx	miedo	B10
con-miedo-es-0006	Res Continens	miedo	ES	verbal-subject-transitive	contener	si ese miedo contiene la mirada inocente de quien pretende sacar no	manual	RES CONTINENS.xlsx	miedo	C10
con-miedo-es-0007	Res Continens	miedo	ES	verbal-subject-transitive	guardar	EL MIEDO GUARDA  LA VIÑA (20 EJEMPLOS)	manual	RES CONTINENS.xlsx	miedo	C10
con-miedo-es-0008	Res Continens	miedo	ES	verbal-locative-state	estar en	La razón de esta extraña circunstancia se encuentra en el miedo que tenían los románticos a la catalepsia,	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0009	Res Continens	miedo	ES	verbal-locative-state	dentro de	2( Dentro de este miedo, cabe señalar la existencia de equipos como Real Madrid,	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0010	Res Continens	miedo	ES	verbal-locative-state	encontrarse en	3( El primer paso de lo numinoso se encuentra en la naturaleza y en el miedo a los muertos.	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0011	Res Continens	miedo	ES	verbal-locative-state	dentro de	4=  tener una predisposición alegre dentro de el miedo	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0012	Res Continens	miedo	ES	verbal-locative-state	dentro de	5= odemos encuadrar el temor a ser perjudicados por los árbitros dentro de los miedos atávicos.	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0013	Res Continens	miedo	ES	verbal-locative-state	vivir en	# Cuantas veces vivimos en el miedo de un potencial fracaso	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0014	Res Continens	miedo	ES	verbal-locative-state	vivir en	vive en el miedo y de el miedo a la pérdida de el valor operacional de su existencia.	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0015	Res Continens	miedo	ES	verbal-locative-state	vivir en	un millón de ciudadanos andaluces vivan en el miedo contínuo a perder una miserable paga	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0016	Res Continens	miedo	ES	verbal-locative-state	vivir en	Tienes dudas y preguntas, y tú vives en el miedo, pero un hermano es un hermano	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0017	Res Continens	miedo	ES	verbal-locative-state	vivir en	nuestros amigos seguiremos viviendo en el miedo ".	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0018	Res Continens	miedo	ES	verbal-locative-state	vivir en	que hay una España " que vive en el miedo y el egoísmo	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0019	Res Continens	miedo	ES	verbal-locative-state	vivir en	no nos merecemos vivir en el miedo de visitar nuestros propios parques	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0020	Res Continens	miedo	ES	verbal-locative-state	vivir en	Es Europa también. Vivimos en el miedo, el miedo a el diferente alimentado por los medios y los polític	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0021	Res Continens	miedo	ES	verbal-locative-state	vivir en	ellos todavía carecen de opciones legales de inmigración y han vivido en el miedo a la deportación de el país a	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0022	Res Continens	miedo	ES	verbal-locative-state	vivir en	, vivimos en el miedo y en la hipocresía	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0023	Res Continens	miedo	ES	verbal-locative-state	vivir en	se vive en el miedo a las palabras,	manual	RES CONTINENS.xlsx	miedo	D10
con-miedo-es-0024	Res Continens	miedo	ES	verbal-locative-into	caer en	n grupo de chavales inexperto, timorato y que puede caer en el miedo escénico de una gran cit	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0025	Res Continens	miedo	ES	verbal-locative-into	caer en	José Sacristán interpretaba a un tímido empleado de banca que cae en el miedo ante todo lo que parece ocurrir a su alrededor.	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0026	Res Continens	miedo	ES	verbal-locative-into	caer en	ómo superar a los haters sin caer en el miedo, y	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0027	Res Continens	miedo	ES	verbal-locative-into	caer en	por su parte, ha pedido a los neoyorquinos no caer en el miedo.	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0028	Res Continens	miedo	ES	verbal-locative-into	caer en	tenemos el peligro de caer en el miedo que nos quieren transmitir ante los que tienen otras razas o religiones	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0029	Res Continens	miedo	ES	verbal-locative-into	caer en	arack Obama llamó ayer a sus conciudadanos a no caer en el miedo	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0030	Res Continens	miedo	ES	verbal-locative-into	caer en	No podemos caer en el miedo haciendo que la vida se agote sin ilusión	manual	RES CONTINENS.xlsx	miedo	E10
con-miedo-es-0031	Res Continens	miedo	ES	verbal-locative-out	sacar de	Si fuera carismatico no le haria falta soltar bestialidades una tras otra sacadas de los miedos primarios	manual	RES CONTINENS.xlsx	miedo	F10
con-miedo-es-0032	Res Continens	miedo	ES	verbal-locative-out	sacar de	Observa a tu padre tembloroso en un rincón, con la manta sobre las piernas, las manos sobre las rodillas y la cabeza incapaz de refrenar su agitación, con la mirada clavada en esa puerta a la espera de que entre quien ya no le puede sacar del miedo que tiene a morir	manual	RES CONTINENS.xlsx	miedo	F10
con-miedo-hn-0001	Res Continens	miedo	HN	verbal-locative-state	sumirse en	sumidas en el temor	manual	RES CONTINENS.xlsx	miedo	D12
con-miedo-hn-0002	Res Continens	miedo	HN	verbal-locative-into	caer en	e digo a todas las mujeres que no caigamos en el miedo porque eso es lo que esa gente busca	manual	RES CONTINENS.xlsx	miedo	E12
con-miedo-mx-0001	Res Continens	miedo	MX	verbal-objective	tapar	. Justifican y tapan su miedo diciendo que están avocadas a el trabajo	manual	RES CONTINENS.xlsx	miedo	B13
con-miedo-mx-0002	Res Continens	miedo	MX	verbal-objective	destapar	discursos de algunos líderes, que de forma deliberada destapan los miedos de los ciudadanos	manual	RES CONTINENS.xlsx	miedo	B13
con-miedo-mx-0003	Res Continens	miedo	MX	verbal-locative-state	encontrarse en	La mejor seguridad se encuentra en el miedo	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0004	Res Continens	miedo	MX	verbal-locative-state	vivir en	s siempre un viaje de transformación: de vivir en el miedo a vivir con valentía	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0005	Res Continens	miedo	MX	verbal-locative-state	estar en	Unos 8 millones de cristianos coptos en Egipto, están viviendo en el miedo,	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0006	Res Continens	miedo	MX	verbal-locative-state	vivir en	los líderes que viven en el miedo de la crítica	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0007	Res Continens	miedo	MX	verbal-locative-state	vivir en	El inmigrante mexicano señaló que vive en el miedo	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0008	Res Continens	miedo	MX	verbal-locative-state	vivir en	permitir más que sus habitantes vivan en el miedo y la zozobra,	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0009	Res Continens	miedo	MX	verbal-locative-state	vivir en	La familia Ramos vive en el miedo por dos cosas: la peligrosidad de sus agresores,	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0010	Res Continens	miedo	MX	verbal-locative-state	vivir en	No es posible vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0011	Res Continens	miedo	MX	verbal-locative-state	vivir en	defender regímenes opresores y brutales, que hacen vivir en el miedo, la escasez y la mentira a millones de ciudadanos	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0012	Res Continens	miedo	MX	verbal-locative-state	vivir en	niños y niñas inocentes que diariamente viven en el miedo y en la incertidum	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0013	Res Continens	miedo	MX	verbal-locative-state	estar en	Estados Unidos está otra vez escondiéndo se, viviendo en el miedo	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0014	Res Continens	miedo	MX	verbal-locative-state	vivir en	los receptores de el DACA viven en el miedo y la incertidumbre, y	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0015	Res Continens	miedo	MX	verbal-locative-state	estar en	esta mediocridad que nos obliga a vivir en el miedo.	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0016	Res Continens	miedo	MX	verbal-locative-state	vivir en	Hoy esos mexicanos viven en el miedo, en la sombra,	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0017	Res Continens	miedo	MX	verbal-locative-state	vivir en	, no tenemos porque vivir en el miedo	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0018	Res Continens	miedo	MX	verbal-locative-state	estar en	o ciudadanos libres en un estado de derecho, donde no se viva en el miedo y la incertidumbr	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0019	Res Continens	miedo	MX	verbal-locative-state	vivir en	s nos condenó a vivir en el miedo.	manual	RES CONTINENS.xlsx	miedo	D13
con-miedo-mx-0020	Res Continens	miedo	MX	verbal-locative-state	vivir en	Era alguien que vivía en el miedo permanente	manual	RES CONTINENS.xlsx	miedo	D13
