id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	frequency	freq_role	exclusion_reason
pla-amor-co-0003	Res Planae	amor	CO	substantive	nivel de	es difícil expresar el nivel de amor, respeto y admiración que tengo por Lauren	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0005	Res Planae	amor	CO	substantive	nivel de	está " en el mismo nivel de amor que le tiene a su mamá	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0006	Res Planae	amor	CO	substantive	nivel de	Me sorprende porque el nivel de amor que siente por su nieta lo ha ayudado a superar la ansiedad	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0007	Res Planae	amor	CO	substantive	nivel de	n el momento en que haya un alto nivel de amor por el propio ego	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0008	Res Planae	amor	CO	substantive	nivel de	no alcanzamos el verdadero nivel de el amor, la caridad y solidarida	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0009	Res Planae	amor	CO	substantive	nivel de	Al mismo nivel de el amor puede ubicar se la ambición por el diner	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0010	Res Planae	amor	CO	substantive	nivel de	(Imaginen el nivel de amor que le tienen los hinchas a un equipo tan modesto	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0011	Res Planae	amor	CO	substantive	nivel de	el nivel de entusiasmo y amor que ha generado nuestro jueg	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0012	Res Planae	amor	CO	substantive	nivel de	ay una respuesta de pensamiento acorde a un nivel de confianza alto, a un nivel de seguridad y amor propio claro y equilibrado	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cr-0001	Res Planae	amor	CR	substantive	nivel de	este nivel de amor por un ídolo sería digno de un análisis particula	Res Planae.xlsx	AMOR	E6	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cr-0002	Res Planae	amor	CR	substantive	nivel de	Una persona con un nivel de amor y de compasión muy diferente a el que conocemo	Res Planae.xlsx	AMOR	E6	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cu-0001	Res Planae	amor	CU	substantive	nivel de	sienten el mismo nivel de compromiso y amor por lo que hacen.	Res Planae.xlsx	AMOR	E7	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-do-0001	Res Planae	amor	DO	substantive	nivel de	uperar ese nivel de amor propio.	Res Planae.xlsx	AMOR	E8	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-do-0002	Res Planae	amor	DO	substantive	nivel de	Que dependiendo de el nivel de el amor propio	Res Planae.xlsx	AMOR	E8	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-do-0003	Res Planae	amor	DO	substantive	nivel de	ser conscientes de el nivel de amor, respeto y honestidad con que nos condujimos	Res Planae.xlsx	AMOR	E8	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-do-0004	Res Planae	amor	DO	substantive	nivel de	o me conformare por nada menos que ese nivel de amor y felicidad	Res Planae.xlsx	AMOR	E8	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ec-0001	Res Planae	amor	EC	substantive	nivel de	expresar mi nuevo nivel de amor, respeto y admiración	Res Planae.xlsx	AMOR	E9	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ec-0002	Res Planae	amor	EC	substantive	nivel de	e evidenció buen nivel de producción y amor de el equipo	Res Planae.xlsx	AMOR	E9	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ec-0003	Res Planae	amor	EC	substantive	nivel de	Cuando te elevas a el nivel de el amor, de su gran belleza y pode	Res Planae.xlsx	AMOR	E9	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ec-0004	Res Planae	amor	EC	substantive	nivel de	está en el mismo nivel de el amor a Dios, que es amor	Res Planae.xlsx	AMOR	E9	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0001	Res Planae	amor	ES	substantive	nivel de	El nivel de amor supera a el de amargura	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0002	Res Planae	amor	ES	substantive	nivel de	llevará la relación a un nivel de amor extraordinario	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0003	Res Planae	amor	ES	substantive	nivel de	quí hay una tensión a nivel de amor que se va a solucionar y	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0004	Res Planae	amor	ES	substantive	nivel de	todo tiene el mismo nivel de opresión, amor, cariño, incertidumbre	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0005	Res Planae	amor	ES	substantive	nivel de	Ese nivel de amor a la cultura y de desprendimiento y de generosidad,	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0006	Res Planae	amor	ES	substantive	nivel de	Algodón de azúcar fue poco comparado con el nivel de amor que vivimos en aquel momento	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0007	Res Planae	amor	ES	substantive	nivel de	hará falta ver un mayor alto nivel de amor propio e intensidad en el equipo ante la amenaza	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0008	Res Planae	amor	ES	substantive	nivel de	unca imaginé que alcanzaría este nivel de amor.	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0009	Res Planae	amor	ES	substantive	nivel de	el nivel de amor es directamente proporcional a el de odio.	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-es-0010	Res Planae	amor	ES	substantive	nivel de	el nivel de amor que llevo acumulado en el cuerpo tras el último año	Res Planae.xlsx	AMOR	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-hn-0001	Res Planae	amor	HN	substantive	nivel de	el nivel de amor o cariño juegan un papel en el proceso de sanació	Res Planae.xlsx	AMOR	E12	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-hn-0002	Res Planae	amor	HN	substantive	nivel de	es más importante el nivel de compromiso y de esfuerzo que el nivel de amor.	Res Planae.xlsx	AMOR	E12	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-mx-0001	Res Planae	amor	MX	substantive	nivel de	# No es normal este nivel de amor que estoy sintiendo por él.	Res Planae.xlsx	AMOR	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-mx-0002	Res Planae	amor	MX	substantive	nivel de	he alcanzado un nuevo nivel de amor, de respeto y de admiración	Res Planae.xlsx	AMOR	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-mx-0003	Res Planae	amor	MX	substantive	nivel de	ablarles de las experiencias y el conocimiento lo conectan a uno a nivel de el amor por el oficio,	Res Planae.xlsx	AMOR	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ni-0001	Res Planae	amor	NI	substantive	nivel de	Cuando te elevas a el nivel de el amor, de su gran belleza y poder	Res Planae.xlsx	AMOR	E14	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pa-0001	Res Planae	amor	PA	substantive	nivel de	el nivel de amor como eje transversal en el abordaje ético de contenido	Res Planae.xlsx	AMOR	E15	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pa-0002	Res Planae	amor	PA	substantive	nivel de	ni se acercan a el nivel de amor que me han aportado mis padres	Res Planae.xlsx	AMOR	E15	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0001	Res Planae	amor	PE	substantive	nivel de	nivel de amor (u odio) que tienes en tu interior puede ser percibido	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0002	Res Planae	amor	PE	substantive	nivel de	Es año de el renacer de la fortuna, pero sobre todo a nivel de amor.	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0003	Res Planae	amor	PE	substantive	nivel de	Ese nivel de amor y pasión, la calidad de los actores que elige	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0004	Res Planae	amor	PE	substantive	nivel de	" El nivel de amor " en sus mítines " es algo hermoso de observa	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0005	Res Planae	amor	PE	substantive	nivel de	dar se cuenta de el nivel de amor y conexión que tanto hombres como mujeres pueden llegar a sentir	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0006	Res Planae	amor	PE	substantive	nivel de	es difícil expresar el nuevo nivel de amor, respeto y admiración que teng	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0007	Res Planae	amor	PE	substantive	nivel de	Por ello la política nunca fue y nunca tendrá el nivel de el amor	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0008	Res Planae	amor	PE	substantive	nivel de	y personas que no logran ese nivel de amor y unión en toda una vida	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pe-0009	Res Planae	amor	PE	substantive	nivel de	estamos bajas de nivel de amor en nuestra vida inevitablemente nos sentimos solas	Res Planae.xlsx	AMOR	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pr-0001	Res Planae	amor	PR	substantive	nivel de	sentir ese mismo nivel de amor en mi corazón	Res Planae.xlsx	AMOR	E17	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-pr-0002	Res Planae	amor	PR	substantive	nivel de	es difícil expresar el nuevo nivel de amor, respeto y admiraci	Res Planae.xlsx	AMOR	E17	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-sv-0001	Res Planae	amor	SV	substantive	nivel de	no tienen el nivel de amor por sus ideales, no supieron manejar la prosperidad	Res Planae.xlsx	AMOR	E19	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0003	Res Planae	amor	US	substantive	nivel de	superar ese nivel de amor propio	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0004	Res Planae	amor	US	substantive	nivel de	la relación que solía definir tu nivel de amor estaba muy lejos de la realidad.	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0005	Res Planae	amor	US	substantive	nivel de	Aumentan el nivel de amor en las personas y	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0006	Res Planae	amor	US	substantive	nivel de	r dependiendo el nivel de " amor " a su religión	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0007	Res Planae	amor	US	substantive	nivel de	e asocia con el nivel de amor o emoción que sentimos por esa persona,	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0008	Res Planae	amor	US	substantive	nivel de	medía el nivel de amor de una pareja	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-us-0009	Res Planae	amor	US	substantive	nivel de	El nivel de amor está igual de presente.	Res Planae.xlsx	AMOR	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0002	Res Planae	amor	VE	substantive	nivel de	, es difícil expresar el nuevo nivel de amor, respeto y admiración que teng	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0003	Res Planae	amor	VE	substantive	nivel de	Ese es el nivel de el amor, criterio fundamental de nuestra realización humana	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0004	Res Planae	amor	VE	substantive	nivel de	La acción en salud como el mayor nivel de amor y expresión de las relaciones de solidaridad humana	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0005	Res Planae	amor	VE	substantive	nivel de	Cuando te elevas a el nivel de el amor, de su gran belleza y poder, lo único que buscas	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0006	Res Planae	amor	VE	substantive	nivel de	ortalecer ese nivel de amor por la patria	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ve-0007	Res Planae	amor	VE	substantive	nivel de	es tener un buen nivel de amor propio, sentir se seguro,	Res Planae.xlsx	AMOR	E21	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
