id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator	frequency	freq_role
con-alegría-es-0007	Res Continens	alegría	ES	verbal-locative-state	encontrarse en	tantos boquetes en cada nuevo atajo que encuentro en la alegría colectiva un preludio de el sálvese-quien-pued	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0008	Res Continens	alegría	ES	verbal-locative-state	dentro de	Aunque dentro de la alegría y ambiente de poca exigencia, vivimos momentos de buen toreo	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0009	Res Continens	alegría	ES	verbal-locative-state	dentro de	dentro de la alegría de esta noche ", la entrada de Vox es " la única mala	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0010	Res Continens	alegría	ES	verbal-locative-state	dentro de	" Había jugadores que dentro de la alegría de haber ganado estaban con un grado de disgusto por no haber dominado	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0011	Res Continens	alegría	ES	verbal-locative-state	dentro de	Carvajal estaba muy afectado, dentro de la alegría que tenía	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0012	Res Continens	alegría	ES	attributive	lleno de	Y lo voy a hacer, y sé que les daré una alegría llena de sentimiento,	manual	RES CONTINENS.xlsx	alegría	E10	1	example
con-alegría-es-0013	Res Continens	alegría	ES	attributive	lleno de	Nos trae una alegría nueva, llena de significado, una nueva capacidad de franquear,	manual	RES CONTINENS.xlsx	alegría	E10	1	example
con-alegría-es-0014	Res Continens	alegría	ES	attributive	lleno de	una alegría muy viva llena de fuerza	manual	RES CONTINENS.xlsx	alegría	E10	1	example
con-alegría-es-0015	Res Continens	alegría	ES	attributive	lleno de	una alegría llena de modestia	manual	RES CONTINENS.xlsx	alegría	E10	1	example
con-alegría-mx-0001	Res Continens	alegría	MX	verbal-locative-state	vivir en	aprendamos a vivir en la alegría que el espíritu navideño contagia de manera permanente,	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0002	Res Continens	alegría	MX	verbal-locative-state	vivir en	vivir en la alegría de la resurrección	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0003	Res Continens	alegría	MX	verbal-locative-state	vivir en	uestro compromiso de vivir en la alegría	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0004	Res Continens	alegría	MX	verbal-locative-state	vivir en	Un cristiano vive en la alegría	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0005	Res Continens	alegría	MX	verbal-locative-state	vivir en	un pueblo vigoroso, joven, que vive en la alegría y el entusiasmo de sus costumbres y tradiciones.	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0006	Res Continens	alegría	MX	verbal-locative-state	encontrarse en	encuentro en la alegría colectiva un preludio de el sálvese-quien-pueda	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0007	Res Continens	alegría	MX	verbal-locative-state	estar en	la fuerza de la vida está en la alegría,	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0008	Res Continens	alegría	MX	verbal-locative-state	estar en	Él mismo estará en la alegría con su pueblo.	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0009	Res Continens	alegría	MX	verbal-locative-state	dentro de	Las insinuaciones sexuales se presentan dentro de la alegría y	manual	RES CONTINENS.xlsx	alegría	C13	1	example
con-alegría-mx-0010	Res Continens	alegría	MX	attributive	lleno de	Una alegría llena de historia, de buenos recuerdos y también de enseñanzas	manual	RES CONTINENS.xlsx	alegría	E13	1	example
con-alegría-mx-0011	Res Continens	alegría	MX	attributive	lleno de	Con alegría llena de esperanza	manual	RES CONTINENS.xlsx	alegría	E13	1	example
con-alegría-mx-0012	Res Continens	alegría	MX	attributive	lleno de	una enorme alegría vital, llena de humor,	manual	RES CONTINENS.xlsx	alegría	E13	1	example
con-alegría-ni-0001	Res Continens	alegría	NI	verbal-locative-state	vivir en	Hugo Chávez Frías, Comandante Eterno, vive en la Alegría de ls Niñs	manual	RES CONTINENS.xlsx	alegría	C14	1	example
con-alegría-ni-0002	Res Continens	alegría	NI	verbal-locative-state	dentro de	Dentro de la alegría de vivir en paz, el gobierno promueve a través de estas actividades	manual	RES CONTINENS.xlsx	alegría	C14	1	example
con-alegría-ni-0003	Res Continens	alegría	NI	attributive	lleno de	disfrutar de esta alegría llena de mucho colorido y ambiente navideño	manual	RES CONTINENS.xlsx	alegría	E14	1	example
con-alegría-pa-0001	Res Continens	alegría	PA	verbal-locative-state	dentro de	dentro de la alegría y el bullicio podamos hacer un tiempo para reflexionar a el respect	manual	RES CONTINENS.xlsx	alegría	C15	1	example
con-alegría-pe-0001	Res Continens	alegría	PE	verbal-objective	destapar	no lograron romper las tablas, y tampoco destapar las alegrías en el estadio conocido como' La Feliz	manual	RES CONTINENS.xlsx	alegría	B16	1	example
con-alegría-pe-0002	Res Continens	alegría	PE	verbal-locative-state	vivir en	omo dice el Papa, " ciertamente viviremos en la alegría	manual	RES CONTINENS.xlsx	alegría	C16	1	example
con-alegría-pe-0003	Res Continens	alegría	PE	verbal-locative-state	dentro de	Dentro de la alegría de la recuperación, la luz también deja cicatrice	manual	RES CONTINENS.xlsx	alegría	C16	1	example
con-alegría-pe-0004	Res Continens	alegría	PE	verbal-locative-state	dentro de	dentro de la alegría de nuestro spot hay una propuesta seria	manual	RES CONTINENS.xlsx	alegría	C16	1	example
con-alegría-pr-0001	Res Continens	alegría	PR	verbal-locative-state	estar en	la importancia de la Navidad está en la alegría de su gente.	manual	RES CONTINENS.xlsx	alegría	C17	1	example
con-alegría-py-0001	Res Continens	alegría	PY	verbal-locative-state	dentro de	celebrar, dentro de la alegría Pascual, la Ascensión de Jesús a el cielo	manual	RES CONTINENS.xlsx	alegría	C18	1	example
con-alegría-us-0002	Res Continens	alegría	US	verbal-locative-state	vivir en	Vives en la alegría y has eliminado de tu vida el juicio	manual	RES CONTINENS.xlsx	alegría	C22	1	example
con-alegría-us-0003	Res Continens	alegría	US	verbal-locative-state	vivir en	abrazaremos la vida que no conoce ocaso. Y viviremos en la alegría.	manual	RES CONTINENS.xlsx	alegría	C22	1	example
con-alegría-us-0004	Res Continens	alegría	US	verbal-locative-state	vivir en	valiente apóstol de tu misericordia, que viva en la alegría	manual	RES CONTINENS.xlsx	alegría	C22	1	example
con-alegría-us-0005	Res Continens	alegría	US	verbal-locative-state	estar en	Cuando estoy en la alegría de una fiesta social me imagino estar revestido de ornamentos de obispo,	manual	RES CONTINENS.xlsx	alegría	C22	1	example
con-alegría-ve-0001	Res Continens	alegría	VE	verbal-objective	destapar	alón se coleó a el fondo de la red para destapar la alegría entre el público	manual	RES CONTINENS.xlsx	alegría	B21	1	example
con-alegría-ve-0002	Res Continens	alegría	VE	verbal-locative-state	vivir en	Es una forma de vivir en la alegría de el Evangelio	manual	RES CONTINENS.xlsx	alegría	C21	1	example
con-alegría-ve-0003	Res Continens	alegría	VE	verbal-locative-state	vivir en	vivir en la alegría y gozo perpetuo y la cooperación	manual	RES CONTINENS.xlsx	alegría	C21	1	example
con-alegría-ve-0004	Res Continens	alegría	VE	verbal-locative-state	vivir en	vives en la alegría y no el miedo	manual	RES CONTINENS.xlsx	alegría	C21	1	example
con-alegría-ve-0005	Res Continens	alegría	VE	verbal-locative-state	estar en	tu corazón está en la alegría	manual	RES CONTINENS.xlsx	alegría	C21	1	example
con-alegría-ve-0006	Res Continens	alegría	VE	verbal-locative-into	caer en	ependencia Tecnológica " para no caer en la alegría de tísico Технологическая зависимость, чтобы не поддаться радости чахоточного	manual	RES CONTINENS.xlsx	alegría	D21	1	example
con-alegría-ve-0007	Res Continens	alegría	VE	attributive	lleno de	la alegría venezolana, llena de rabia, se convertirá en una fuerza material	manual	RES CONTINENS.xlsx	alegría	E21	1	example
con-alegría-ve-0008	Res Continens	alegría	VE	attributive	lleno de	alegría, llena de juegos y sorpresas,	manual	RES CONTINENS.xlsx	alegría	E21	1	example
fil-alegría-ar-0001	Res Filiformes	alegría	AR	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B2	190	total
fil-alegría-ar-0002	Res Filiformes	alegría	AR	verbal-objective	desatar	# La bocina de el final desató la alegría de las jugadoras	manual	Res Filiformes.xlsx	alegría	B2	0	illustrative
fil-alegría-ar-0003	Res Filiformes	alegría	AR	verbal-objective	desatar	La victoria de el candidato desató la alegría de la clase política europea	manual	Res Filiformes.xlsx	alegría	B2	0	illustrative
fil-alegría-ar-0004	Res Filiformes	alegría	AR	verbal-objective	desatar	Ojalá que Messi desate una gran alegría para los argentinos.	manual	Res Filiformes.xlsx	alegría	B2	0	illustrative
fil-alegría-ar-0005	Res Filiformes	alegría	AR	verbal-objective	desatar	Familias enteras desatan su alegría a puro grito y charla	manual	Res Filiformes.xlsx	alegría	B2	0	illustrative
fil-alegría-ar-0006	Res Filiformes	alegría	AR	verbal-subject-intransitive	desatarse	desatar alegría	manual	Res Filiformes.xlsx	alegría	C2	18	total
fil-alegría-ar-0007	Res Filiformes	alegría	AR	verbal-subject-intransitive	desatarse	en la última fecha se desató la alegría en el fútbol	manual	Res Filiformes.xlsx	alegría	C2	0	illustrative
fil-alegría-ar-0008	Res Filiformes	alegría	AR	verbal-subject-intransitive	desatarse	El sufrimiento de estar afuera hizo que se desate la alegría	manual	Res Filiformes.xlsx	alegría	C2	0	illustrative
fil-alegría-ar-0009	Res Filiformes	alegría	AR	attributive	desatado	1se sacó anoche este plantel, por eso la alegría desatada a el final de la noche en el Bosque	manual	Res Filiformes.xlsx	alegría	F2	1	example
fil-alegría-ar-0010	Res Filiformes	alegría	AR	attributive	desatado	tras la clasificación y la alegría desatada entre los rosarinos	manual	Res Filiformes.xlsx	alegría	F2	1	example
fil-alegría-ar-0011	Res Filiformes	alegría	AR	attributive	tenso	tensa alegría	manual	Res Filiformes.xlsx	alegría	F2	1	total
fil-alegría-ar-0012	Res Filiformes	alegría	AR	attributive	tenso	de música, de sensualidad y de alegría tensa, traída desde la raíz profunda de lo humano	manual	Res Filiformes.xlsx	alegría	F2	0	illustrative
fil-alegría-bo-0001	Res Filiformes	alegría	BO	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B3	12	total
fil-alegría-bo-0002	Res Filiformes	alegría	BO	verbal-objective	desatar	desatar la alegría	manual	Res Filiformes.xlsx	alegría	B3	0	illustrative
fil-alegría-bo-0003	Res Filiformes	alegría	BO	verbal-objective	desatar	La agrupación quiere desatar esa alegría que los hizo merecedores de el premio	manual	Res Filiformes.xlsx	alegría	B3	0	illustrative
fil-alegría-bo-0004	Res Filiformes	alegría	BO	verbal-objective	desatar	Argarañaz logra mandar el balón a el fondo de el arco desatando la alegría de el público presente	manual	Res Filiformes.xlsx	alegría	B3	0	illustrative
fil-alegría-bo-0005	Res Filiformes	alegría	BO	verbal-objective	desatar	los brasileños desataron toda su alegría por la conquista	manual	Res Filiformes.xlsx	alegría	B3	0	illustrative
fil-alegría-bo-0006	Res Filiformes	alegría	BO	verbal-subject-intransitive	desatarse	desatarse alegría	manual	Res Filiformes.xlsx	alegría	C3	1	total
fil-alegría-bo-0007	Res Filiformes	alegría	BO	verbal-subject-intransitive	desatarse	la alegría se desata en el campo de juego	manual	Res Filiformes.xlsx	alegría	C3	0	illustrative
fil-alegría-bo-0008	Res Filiformes	alegría	BO	attributive	desatado	ayer revivió su éxito a el ver la alegría desatada por el triunfo de su compatriota	manual	Res Filiformes.xlsx	alegría	F3	1	example
fil-alegría-bo-0009	Res Filiformes	alegría	BO	attributive	tenso	tensa alegría	manual	Res Filiformes.xlsx	alegría	F3	1	total
fil-alegría-bo-0010	Res Filiformes	alegría	BO	attributive	tenso	es heredera de la alegría tensa de los bodegones gitanos	manual	Res Filiformes.xlsx	alegría	F3	0	illustrative
fil-alegría-bo-0011	Res Filiformes	alegría	BO	substantive	hilo	episodios de una historia que se tejen con hilos de gracia, alegría y emoció	manual	Res Filiformes.xlsx	alegría	G3	1	example
fil-alegría-cl-0001	Res Filiformes	alegría	CL	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B4	248	total
fil-alegría-cl-0002	Res Filiformes	alegría	CL	verbal-objective	desatar	desatar la alegría:	manual	Res Filiformes.xlsx	alegría	B4	0	illustrative
fil-alegría-cl-0003	Res Filiformes	alegría	CL	verbal-objective	desatar	Un cabezazo para desatar la alegría	manual	Res Filiformes.xlsx	alegría	B4	0	illustrative
fil-alegría-cl-0004	Res Filiformes	alegría	CL	verbal-objective	desatar	definir de gran forma, desatando la alegría cruzada	manual	Res Filiformes.xlsx	alegría	B4	0	illustrative
fil-alegría-cl-0005	Res Filiformes	alegría	CL	verbal-objective	entrelazar	entrelazar alegría	manual	Res Filiformes.xlsx	alegría	B4	1	total
fil-alegría-cl-0006	Res Filiformes	alegría	CL	verbal-objective	entrelazar	Un destello que entrelaza la alegría y la nostalgia	manual	Res Filiformes.xlsx	alegría	B4	0	illustrative
fil-alegría-cl-0007	Res Filiformes	alegría	CL	verbal-subject-intransitive	desatarse	desatarse alegría	manual	Res Filiformes.xlsx	alegría	C4	1	total
fil-alegría-cl-0008	Res Filiformes	alegría	CL	verbal-subject-intransitive	desatarse	Minuto 18 de partido y se desataba la alegría de la Roja.	manual	Res Filiformes.xlsx	alegría	C4	0	illustrative
fil-alegría-cl-0009	Res Filiformes	alegría	CL	attributive	desatado	desatado alegría	manual	Res Filiformes.xlsx	alegría	F4	6	total
fil-alegría-cl-0010	Res Filiformes	alegría	CL	attributive	desatado	La alegría desatada por los " citizens " no gustó para nada	manual	Res Filiformes.xlsx	alegría	F4	0	illustrative
fil-alegría-cl-0011	Res Filiformes	alegría	CL	attributive	tenso	tensa alegría	manual	Res Filiformes.xlsx	alegría	F4	1	total
fil-alegría-cl-0012	Res Filiformes	alegría	CL	attributive	tenso	en el dramatismo, en la intimidad y en una tensa alegría.	manual	Res Filiformes.xlsx	alegría	F4	0	illustrative
fil-alegría-co-0001	Res Filiformes	alegría	CO	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B5	37	total
fil-alegría-co-0002	Res Filiformes	alegría	CO	verbal-objective	desatar	gol de Cristiano Ronaldo desató la alegría entre sus seguidores	manual	Res Filiformes.xlsx	alegría	B5	0	illustrative
fil-alegría-co-0003	Res Filiformes	alegría	CO	verbal-objective	desatar	La noticia de el rechazo a la candidatura de la actual primera dama desató la alegría de la oposición	manual	Res Filiformes.xlsx	alegría	B5	0	illustrative
fil-alegría-co-0004	Res Filiformes	alegría	CO	verbal-objective	desatar	la reina desataba su alegría y la Vaca Vieja sonaba a ritmo de Pedro Laza	manual	Res Filiformes.xlsx	alegría	B5	0	illustrative
fil-alegría-co-0005	Res Filiformes	alegría	CO	verbal-objective	tejer	tejer alegría	manual	Res Filiformes.xlsx	alegría	B5	1	total
fil-alegría-co-0006	Res Filiformes	alegría	CO	verbal-objective	tejer	seguiremos tejiendo muchas alegrías para Colombia	manual	Res Filiformes.xlsx	alegría	B5	0	illustrative
fil-alegría-co-0007	Res Filiformes	alegría	CO	verbal-subject-intransitive	desatarse	desatar alegría	manual	Res Filiformes.xlsx	alegría	C5	2	total
fil-alegría-co-0008	Res Filiformes	alegría	CO	verbal-subject-intransitive	desatarse	entre los madridistas se desató la alegría	manual	Res Filiformes.xlsx	alegría	C5	0	illustrative
fil-alegría-co-0009	Res Filiformes	alegría	CO	verbal-subject-intransitive	desatarse	Tras esa primera anotación se desató una gran alegría,	manual	Res Filiformes.xlsx	alegría	C5	0	illustrative
fil-alegría-co-0010	Res Filiformes	alegría	CO	attributive	desatado	desatado alegría	manual	Res Filiformes.xlsx	alegría	F5	2	total
fil-alegría-co-0011	Res Filiformes	alegría	CO	attributive	desatado	se concilian los rigores de la música rusa y la alegría latina desatada	manual	Res Filiformes.xlsx	alegría	F5	0	illustrative
fil-alegría-co-0012	Res Filiformes	alegría	CO	substantive	hilo de	hilvanar esa madeja de alegrías cantada	manual	Res Filiformes.xlsx	alegría	G5	1	example
fil-alegría-co-0013	Res Filiformes	alegría	CO	substantive	hilo	Has dejado hilos de tristeza, alegrías, sueños y esperanzas esparcidas entre las nubes	manual	Res Filiformes.xlsx	alegría	G5	1	example
fil-alegría-cr-0001	Res Filiformes	alegría	CR	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B6	11	total
fil-alegría-cr-0002	Res Filiformes	alegría	CR	verbal-objective	desatar	Hernandez desató la alegría mexicana en la ciudad de San Diego	manual	Res Filiformes.xlsx	alegría	B6	0	illustrative
fil-alegría-cr-0003	Res Filiformes	alegría	CR	verbal-objective	desatar	El pitazo final llegó para desatar la alegría de la afición local	manual	Res Filiformes.xlsx	alegría	B6	0	illustrative
fil-alegría-cr-0004	Res Filiformes	alegría	CR	verbal-subject-intransitive	desatarse	desatarse alegría	manual	Res Filiformes.xlsx	alegría	C6	1	total
fil-alegría-cr-0005	Res Filiformes	alegría	CR	verbal-subject-intransitive	desatarse	la alegría se desató en la capital y captó la atención	manual	Res Filiformes.xlsx	alegría	C6	0	illustrative
fil-alegría-cu-0001	Res Filiformes	alegría	CU	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B7	4	total
fil-alegría-cu-0002	Res Filiformes	alegría	CU	verbal-objective	desatar	Sánchez clavó la puntilla en el minuto 44 y desató la alegría de una selección	manual	Res Filiformes.xlsx	alegría	B7	0	illustrative
fil-alegría-cu-0003	Res Filiformes	alegría	CU	verbal-objective	desatar	para desatar la alegría en la tierra de el tequila	manual	Res Filiformes.xlsx	alegría	B7	0	illustrative
fil-alegría-cu-0004	Res Filiformes	alegría	CU	verbal-objective	entrelazar	entrelazar alegría	manual	Res Filiformes.xlsx	alegría	B7	1	total
fil-alegría-cu-0005	Res Filiformes	alegría	CU	verbal-objective	entrelazar	múltiples actividades donde se entrelazan la alegría, el júbilo y el compromiso eterno	manual	Res Filiformes.xlsx	alegría	B7	0	illustrative
fil-alegría-cu-0006	Res Filiformes	alegría	CU	verbal-subject-intransitive	desatarse	desatar alegría	manual	Res Filiformes.xlsx	alegría	C7	1	total
fil-alegría-cu-0007	Res Filiformes	alegría	CU	verbal-subject-intransitive	desatarse	luego se desató la alegría a base de las más de diez manifestaciones artísticas	manual	Res Filiformes.xlsx	alegría	C7	0	illustrative
fil-alegría-cu-0008	Res Filiformes	alegría	CU	attributive	desatado	mostrar una alegría desatada en la victoria	manual	Res Filiformes.xlsx	alegría	F7	1	example
fil-alegría-do-0001	Res Filiformes	alegría	DO	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B8	4	total
fil-alegría-do-0002	Res Filiformes	alegría	DO	verbal-objective	desatar	l emblemático " Salta ", de la otrora artista Infantil Isha, lo que desató risas y alegría	manual	Res Filiformes.xlsx	alegría	B8	0	illustrative
fil-alegría-do-0003	Res Filiformes	alegría	DO	verbal-subject-intransitive	desatarse	desatar alegría	manual	Res Filiformes.xlsx	alegría	C8	1	total
fil-alegría-do-0004	Res Filiformes	alegría	DO	verbal-subject-intransitive	desatarse	Dentro de el capitolio se desató la alegría de el festín.	manual	Res Filiformes.xlsx	alegría	C8	0	illustrative
fil-alegría-do-0005	Res Filiformes	alegría	DO	attributive	amarrar	una estela de luz, alegría y felicidad, amarrada a la paz y grandeza	manual	Res Filiformes.xlsx	alegría	F8	1	example
fil-alegría-ec-0001	Res Filiformes	alegría	EC	verbal-objective	desatar	desatar alegría	manual	Res Filiformes.xlsx	alegría	B9	27	total
fil-alegría-ec-0002	Res Filiformes	alegría	EC	verbal-objective	desatar	el' 10' argentino desató su alegría por el' milagro' alcanzado	manual	Res Filiformes.xlsx	alegría	B9	0	illustrative
fil-alegría-ec-0003	Res Filiformes	alegría	EC	verbal-objective	desatar	remontar el marcador a los 84 minutos y así desatar la alegría entre los locales	manual	Res Filiformes.xlsx	alegría	B9	0	illustrative
fil-alegría-ec-0004	Res Filiformes	alegría	EC	verbal-objective	desatar	la banda de pueblo que desata la alegría..	manual	Res Filiformes.xlsx	alegría	B9	0	illustrative
